AGS,Name,Kreis
532009,Eschenburg,06532
532010,Greifenstein,06532
532011,Haiger,06532
532012,Herborn,06532
532013,Hohenahr,06532
532014,Hüttenberg,06532
532015,Lahnau,06532
532016,Leun,06532
532017,Mittenaar,06532
532018,Schöffengrund,06532
532019,Siegbach,06532
532020,Sinn,06532
532021,Solms,06532
532022,Waldsolms,06532
532023,Wetzlar,06532
533000,Landkreis Limburg-Weilburg,06533
533001,Beselich,06533
533002,Brechen,06533
533003,Bad Camberg,06533
533004,Dornburg,06533
533005,Elbtal,06533
533006,Elz,06533
533007,Hadamar,06533
533008,Hünfelden,06533
533009,Limburg an der Lahn,06533
533010,Löhnberg,06533
533011,Mengerskirchen,06533
533012,Merenberg,06533
533013,Runkel,06533
533014,Selters (Taunus),06533
533015,Villmar,06533
533016,Waldbrunn (Westerwald),06533
533017,Weilburg,06533
533018,Weilmünster,06533
533019,Weinbach,06533
534000,Landkreis Marburg-Biedenkopf,06534
534001,Amöneburg,06534
534002,Angelburg,06534
534003,Bad Endbach,06534
534004,Biedenkopf,06534
534005,Breidenbach,06534
534006,Cölbe,06534
534007,Dautphetal,06534
534008,Ebsdorfergrund,06534
534009,Fronhausen,06534
534010,Gladenbach,06534
534011,Kirchhain,06534
534012,Lahntal,06534
534013,Lohra,06534
534014,Marburg,06534
534015,Münchhausen,06534
534016,Neustadt (Hessen),06534
534017,Rauschenberg,06534
534018,Stadtallendorf,06534
534019,Steffenberg,06534
534020,Weimar (Lahn),06534
534021,Wetter (Hessen),06534
534022,Wohratal,06534
535000,Vogelsbergkreis,06535
535001,Alsfeld,06535
535002,Antrifttal,06535
535003,Feldatal,06535
535004,Freiensteinau,06535
535005,Gemünden (Felda),06535
535006,Grebenau,06535
535007,Grebenhain,06535
535008,Herbstein,06535
535009,Homberg (Ohm),06535
535010,Kirtorf,06535
535011,Lauterbach (Hessen),06535
535012,Lautertal (Vogelsberg),06535
535013,Mücke,06535
535014,Romrod,06535
535015,Schlitz,06535
535016,Schotten,06535
535017,Schwalmtal,06535
535018,Ulrichstein,06535
535019,Wartenberg,06535
600000,Regierungsbezirk Kassel,06600
611000,Kassel,06611
631000,Landkreis Fulda,06631
631001,Bad Salzschlirf,06631
631002,Burghaun,06631
631003,Dipperz,06631
631004,Ebersburg,06631
631005,Ehrenberg (Rhön),06631
631006,Eichenzell,06631
631007,Eiterfeld,06631
631008,Flieden,06631
631009,Fulda,06631
631010,Gersfeld (Rhön),06631
631011,Großenlüder,06631
631012,Hilders,06631
631013,Hofbieber,06631
631014,Hosenfeld,06631
631015,Hünfeld,06631
631016,Kalbach,06631
631017,Künzell,06631
631018,Neuhof,06631
631019,Nüsttal,06631
631020,Petersberg,06631
631021,Poppenhausen (Wasserkuppe),06631
631022,Rasdorf,06631
631023,Tann (Rhön),06631
632000,Landkreis Hersfeld-Rotenburg,06632
632001,Alheim,06632
632002,Bad Hersfeld,06632
632003,Bebra,06632
632004,Breitenbach am Herzberg,06632
632005,Cornberg,06632
632006,Friedewald,06632
632007,Hauneck,06632
632008,Haunetal,06632
632009,Heringen (Werra),06632
632010,Hohenroda,06632
632011,Kirchheim,06632
632012,Ludwigsau,06632
632013,Nentershausen,06632
632014,Neuenstein,06632
632015,Niederaula,06632
632016,Philippsthal (Werra),06632
632017,Ronshausen,06632
632018,Rotenburg an der Fulda,06632
632019,Schenklengsfeld,06632
632020,Wildeck,06632
633000,Landkreis Kassel,06633
633001,Ahnatal,06633
633002,Bad Karlshafen,06633
633003,Baunatal,06633
633004,Breuna,06633
633005,Calden,06633
633006,Bad Emstal,06633
633007,Espenau,06633
633008,Fuldabrück,06633
633009,Fuldatal,06633
633010,Grebenstein,06633
633011,Habichtswald,06633
633012,Helsa,06633
633013,Hofgeismar,06633
633014,Immenhausen,06633
633015,Kaufungen,06633
633016,Liebenau,06633
633017,Lohfelden,06633
633018,Naumburg,06633
633019,Nieste,06633
633020,Niestetal,06633
633021,Oberweser,06633
633022,Reinhardshagen,06633
633023,Schauenburg,06633
633024,Söhrewald,06633
633025,Trendelburg,06633
633026,Vellmar,06633
633027,Wahlsburg,06633
633028,Wolfhagen,06633
633029,Zierenberg,06633
633200,Gutsbezirk Reinhardswald,06633
634000,Schwalm-Eder-Kreis,06634
634001,Borken (Hessen),06634
634002,Edermünde,06634
634003,Felsberg,06634
634004,Frielendorf,06634
634005,Fritzlar,06634
634006,Gilserberg,06634
634007,Gudensberg,06634
634008,Guxhagen,06634
634009,Homberg (Efze),06634
634010,Jesberg,06634
634011,Knüllwald,06634
634012,Körle,06634
634013,Malsfeld,06634
634014,Melsungen,06634
634015,Morschen,06634
634016,Neuental,06634
634017,Neukirchen (Knüll),06634
634018,Niedenstein,06634
634019,Oberaula,06634
634020,Ottrau,06634
634021,Schrecksbach,06634
634022,Schwalmstadt,06634
634023,Schwarzenborn,06634
634024,Spangenberg,06634
634025,Wabern,06634
634026,Willingshausen,06634
634027,Bad Zwesten,06634
635000,Landkreis Waldeck-Frankenberg,06635
635001,Allendorf (Eder),06635
635002,Bad Arolsen,06635
635003,Bad Wildungen,06635
635004,Battenberg (Eder),06635
635005,Bromskirchen,06635
635006,Burgwald,06635
635007,Diemelsee,06635
635008,Diemelstadt,06635
635009,Edertal,06635
635010,Frankenau,06635
635011,Frankenberg (Eder),06635
635012,Gemünden (Wohra),06635
635013,Haina (Kloster),06635
635014,Hatzfeld (Eder),06635
635015,Korbach,06635
635016,Lichtenfels,06635
635017,Rosenthal,06635
635018,Twistetal,06635
635019,Vöhl,06635
635020,Volkmarsen,06635
635021,Waldeck,06635
635022,Willingen (Upland),06635
636000,Werra-Meißner-Kreis,06636
636001,Bad Sooden-Allendorf,06636
636002,Berkatal,06636
636003,Eschwege,06636
636004,Großalmerode,06636
636005,Herleshausen,06636
636006,Hessisch Lichtenau,06636
636007,Meinhard,06636
636008,Meißner,06636
636009,Neu-Eichenberg,06636
636010,Ringgau,06636
636011,Sontra,06636
636012,Waldkappel,06636
636013,Wanfried,06636
636014,Wehretal,06636
636015,Weißenborn,06636
636016,Witzenhausen,06636
636200,Gutsbezirk Kaufunger Wald,06636
