'Bundesland','Gemeindekennziffer, Stand 31.12.2017','Regionalschlüssel 2017','Gemeindename 2017','Regionalschlüssel 2017','Name des Gemeindeverbands','Fläche in ha 31.12.2017','Bevölkerung am 31.12.2017 ','Name Stadt- und Gemeindetyp (einfach)'
'Schleswig-Holstein',1051049,10515169049,'Hennstedt',10515169,'Eider',2193,1.940,'Landgemeinde'
'Schleswig-Holstein',1051050,10515178050,'Hillgroven',10515178,'Büsum-Wesselburen',360,65,'Landgemeinde'
'Schleswig-Holstein',1051051,10515163051,'Hochdonn',10515163,'Burg-St. Michaelisdonn',546,1.101,'Landgemeinde'
'Schleswig-Holstein',1051052,10515169052,'Hövede',10515169,'Eider',294,61,'Landgemeinde'
'Schleswig-Holstein',1051053,10515169053,'Hollingstedt',10515169,'Eider',974,293,'Landgemeinde'
'Schleswig-Holstein',1051054,10515175054,'Immenstedt',10515175,'Mitteldithmarschen',309,102,'Kleine Kleinstadt'
'Schleswig-Holstein',1051057,10515166057,'Kaiser-Wilhelm-Koog',10515166,'Marne-Nordsee',1306,359,'Kleine Kleinstadt'
'Schleswig-Holstein',1051058,10515169058,'Karolinenkoog',10515169,'Eider',1755,149,'Landgemeinde'
'Schleswig-Holstein',1051060,10515169060,'Kleve',10515169,'Eider',1281,418,'Landgemeinde'
'Schleswig-Holstein',1051061,10515169061,'Krempel',10515169,'Eider',483,595,'Landgemeinde'
'Schleswig-Holstein',1051062,10515166062,'Kronprinzenkoog',10515166,'Marne-Nordsee',2885,811,'Kleine Kleinstadt'
'Schleswig-Holstein',1051063,10515175063,'Krumstedt',10515175,'Mitteldithmarschen',1589,510,'Kleine Kleinstadt'
'Schleswig-Holstein',1051064,10515163064,'Kuden',10515163,'Burg-St. Michaelisdonn',1137,607,'Landgemeinde'
'Schleswig-Holstein',1051065,10515169065,'Lehe',10515169,'Eider',1863,1.093,'Landgemeinde'
'Schleswig-Holstein',1051067,10515172067,'Lieth',10515172,'Heider Umland',466,382,'Landgemeinde'
'Schleswig-Holstein',1051068,10515169068,'Linden',10515169,'Eider',1162,867,'Landgemeinde'
'Schleswig-Holstein',1051069,10515172069,'Lohe-Rickelshof',10515172,'Heider Umland',539,2.075,'Landgemeinde'
'Schleswig-Holstein',1051071,10515169071,'Lunden',10515169,'Eider',465,1.674,'Landgemeinde'
'Schleswig-Holstein',1051072,10515166072,'Marne, Stadt',10515166,'Marne-Nordsee',483,5.832,'Kleine Kleinstadt'
'Schleswig-Holstein',1051073,10515166073,'Marnerdeich',10515166,'Marne-Nordsee',131,404,'Kleine Kleinstadt'
'Schleswig-Holstein',1051074,10515175074,'Meldorf, Stadt',10515175,'Mitteldithmarschen',2126,7.214,'Kleine Kleinstadt'
'Schleswig-Holstein',1051075,10515172075,'Neuenkirchen',10515172,'Heider Umland',2514,963,'Landgemeinde'
'Schleswig-Holstein',1051076,10515166076,'Neufeld',10515166,'Marne-Nordsee',1041,574,'Kleine Kleinstadt'
'Schleswig-Holstein',1051077,10515166077,'Neufelderkoog',10515166,'Marne-Nordsee',976,122,'Kleine Kleinstadt'
'Schleswig-Holstein',1051078,10515175078,'Nindorf',10515175,'Mitteldithmarschen',874,1.145,'Kleine Kleinstadt'
'Schleswig-Holstein',1051079,10515178079,'Norddeich',10515178,'Büsum-Wesselburen',690,411,'Landgemeinde'
